ID,Year,Season,ID AND SEASON,August BODY WEIGHT,November BODY WEIGHT,August NO STEP VERTICAL,November NO STEP VERTICAL,August VERTICAL WATTS,November VERTICAL WATTS,August CLEAN,November CLEAN, August BENCH,November BENCH,August LIFT TOTAL,November LIFT TOTAL,August POUND 4 POUND,November POUND 4 POUND,August SQUAT,November SQUAT,Games Played,Games Started,Goals Scored,Assists,Goals + Assists,Shots,Shot% ,Goals while up,Goals while down,Ground Balls,Turnovers,Caused Turnovers
164,2016,2017,1642017,191,196,30,31.5,6502.24,6828.06,275,315,295,295,1000,1110,5.24,5.66,430,500,18,0 ,0 ,0 ,0 ,2 ,.000 ,0 ,0 ,31 ,1 ,19 
165,2014,2015,1652015,193,187,22,22,5305.81,5305.81,205,205,245,265,775,795,4.02,4.25,325,325,15,0 ,2 ,0 ,2 ,2 ,1.000 ,0 ,0 ,63 ,6 ,1 
165,2015,2016,1652016,195,208,25,28,5799.18,6528.91,225,240,250,295,855,945,4.38,4.54,380,410,16,0 ,3 ,1 ,4 ,10 ,.300 ,0 ,0 ,153 ,16 ,0 
165,2016,2017,1652017,210,214,25,28,5799.18,6528.91,225,225,290,305,895,910,4.26,4.25,380,380,17,0 ,0 ,4 ,4 ,6 ,.000 ,0 ,0 ,123 ,12 ,1 
166,2013,2014,1662014,176,172,25,28,5799.18,6528.91,215,215,255,265,855,865,4.86,5.03,385,385,9,0 ,0 ,0 ,0 ,2 ,.000 ,0 ,0 ,1 ,3 ,0 
166,2014,2015,1662015,165,167,25.5,28,5265.8254,6019.21,225,235,280,290,895,920,5.42,5.51,390,395,4,0 ,0 ,0 ,0 ,3 ,.000 ,0 ,0 ,0 ,0 ,0 
166,2015,2016,1662016,165,169,27,28,5495.04,5731.43,245,240,275,295,905,965,5.48,5.71,385,430,11,0 ,1 ,2 ,3 ,2 ,.500 ,0 ,0 ,2 ,2 ,0 
166,2016,2017,1662017,167,167,26,27.5,5388.13,5621.46,230,235,290,290,915,955,5.48,5.72,395,430,12,0 ,3 ,0 ,3 ,6 ,.500 ,0 ,0 ,4 ,1 ,0 
168,2013,2014,1682014,201,205,24,23.5,5988.24,5824.83,225,225,195,210,740,755,3.68,3.68,320,320,16,0 ,0 ,0 ,0 ,0 ,.000 ,0 ,0 ,5 ,1 ,2 
168,2014,2015,1682015,211,207,24,23.5,5988.24,5824.83,245,250,215,230,820,850,3.89,4.11,360,370,18,11 ,0 ,0 ,0 ,0 ,.000 ,0 ,0 ,28 ,7 ,9 
168,2015,2016,1682016,202,207,26,24.5,6113.67,5966.67,260,270,235,230,860,870,4.26,4.20,365,370,15,4 ,1 ,0 ,1 ,1 ,1.000 ,0 ,0 ,39 ,9 ,6 
168,2016,2017,1682017,207,205,23,24,5739.52,5862.87,265,265,230,235,870,885,4.20,4.32,375,385,18,0 ,0 ,0 ,0 ,0 ,.000 ,0 ,0 ,15 ,0 ,3 
169,2013,2014,1692014,200,198,26.5,27.5,6225.7,6402.49,235,245,250,245,785,790,3.93,3.99,300,300,20,0 ,3 ,0 ,3 ,7 ,.429 ,0 ,0 ,7 ,6 ,4 
169,2014,2015,1692015,204,205,26.5,27.5,6225.7,6402.49,235,245,275,300,840,915,4.12,4.46,330,370,18,2 ,3 ,4 ,7 ,12 ,.250 ,0 ,0 ,20 ,10 ,6 
169,2015,2016,1692016,212,213,28.5,29,6690.26,6794.07,265,265,290,290,940,940,4.43,4.41,385,385,15,0 ,2 ,1 ,3 ,3 ,.667 ,0 ,0 ,22 ,8 ,7 
169,2016,2017,1692017,214,213,28,28.5,6662.5,6716.99,250,275,290,290,910,920,4.25,4.32,370,355,18,0 ,1 ,0 ,1 ,3 ,.333 ,0 ,0 ,24 ,5 ,7 
170,2012,2013,1702013,186,195,22.5,24.5,5524.72,5685.09,220,220,190,205,755,770,4.06,3.95,345,345,10,0 ,0 ,0 ,0 ,0 ,.000 ,0 ,0 ,1 ,0 ,0 
170,2013,2014,1702014,196,197,22.5,24.5,5524.72,5685.09,225,240,225,245,790,830,4.03,4.21,340,345,20,18 ,0 ,0 ,0 ,1 ,.000 ,0 ,0 ,32 ,7 ,2 
170,2014,2015,1702015,200,193,22.5,24.5,5524.72,5685.09,255,260,260,250,865,880,4.33,4.56,350,370,13,9 ,0 ,0 ,0 ,0 ,.000 ,0 ,0 ,5 ,1 ,2 
170,2015,2016,1702016,184,191,24.5,24.5,5512.44,5512.44,255,265,235,235,865,875,4.70,4.58,375,375,9,0 ,0 ,0 ,0 ,0 ,.000 ,0 ,0 ,0 ,0 ,0 
172,2013,2014,1722014,217,212,29.5,29.5,6904.05,6904.05,315,300,375,380,1150,1150,5.30,5.42,460,470,11,0 ,0 ,0 ,0 ,0 ,.000 ,0 ,0 ,5 ,1 ,2 
172,2014,2015,1722015,215,215,29.5,29.5,6904.05,6904.05,310,310,365,365,1115,1115,5.19,5.19,440,440,3,0 ,0 ,0 ,0 ,0 ,.000 ,0 ,0 ,1 ,0 ,0 
172,2015,2016,1722016,219,220,29.5,29.5,6994.49,6994.49,300,305,335,335,1105,1110,5.05,5.05,470,470,15,12 ,0 ,0 ,0 ,0 ,.000 ,0 ,0 ,19 ,4 ,8 
173,2012,2013,1732013,162,168,29,29,6054.15,6054.15,230,230,205,195,780,770,4.81,4.58,345,345,5,0 ,0 ,0 ,0 ,0 ,.000 ,0 ,0 ,0 ,2 ,0 
173,2013,2014,1732014,172,173,29,29,6054.15,6054.15,255,265,235,225,810,845,4.71,4.88,320,355,18,2 ,7 ,10 ,17 ,25 ,.280 ,2 ,0 ,7 ,14 ,1 
173,2014,2015,1732015,177,172,29,29,6054.15,6054.15,275,275,245,270,880,905,4.97,5.26,360,360,15,10 ,14 ,7 ,21 ,47 ,.298 ,4 ,0 ,7 ,11 ,0 
